InputSize,TimeSeconds
100,0
200,0
300,0.001
400,0
500,0.001
600,0.002
700,0.001
800,0.002
900,0.004
1000,0.004
1100,0.004
1200,0.005
1300,0.006
1400,0.008
1500,0.009
1600,0.01
1700,0.011
1800,0.012
1900,0.014
2000,0.018
2100,0.017
2200,0.019
2300,0.022
2400,0.024
2500,0.025
2600,0.027
2700,0.03
2800,0.033
2900,0.036
3000,0.041
3100,0.038
3200,0.042
3300,0.045
3400,0.048
3500,0.048
3600,0.051
3700,0.056
3800,0.057
3900,0.059
4000,0.071
4100,0.076
4200,0.074
4300,0.075
4400,0.081
4500,0.083
4600,0.086
4700,0.09
4800,0.096
4900,0.099
5000,0.105
